线段编号,无人机编号,关联任务,线段类型,起点X_m,起点Y_m,终点X_m,终点Y_m,线段长度_m,速度_m_s,单位路径药量_L_m,开始时间_min,结束时间_min,起始续航_min,结束续航_min,起始药量_L,结束药量_L
UAV-1-L011,UAV-1,D22,覆盖连接段,642.95,354.0,563.26,322.27,85.77,3.0,0.004437,2.5624,3.0389,22.4376,21.9611,28.3453,27.9647
UAV-1-L012,UAV-1,D22,覆盖喷洒段,563.26,322.27,556.94,319.32,6.97,3.0,0.004437,3.0389,3.0777,21.9611,21.9223,27.9647,27.9338
UAV-1-L013,UAV-1,D22,覆盖连接段,556.94,319.32,572.49,326.57,17.15,3.0,0.004437,3.0777,3.173,21.9223,21.827,27.9338,27.8577
UAV-1-L014,UAV-1,D22,覆盖喷洒段,572.49,326.57,644.49,360.15,79.44,3.0,0.004437,3.173,3.6143,21.827,21.3857,27.8577,27.5052
UAV-1-L015,UAV-1,D22,覆盖连接段,644.49,360.15,561.95,327.09,88.91,3.0,0.004437,3.6143,4.1083,21.3857,20.8917,27.5052,27.1107
UAV-1-L016,UAV-1,D22,覆盖喷洒段,561.95,327.09,551.94,322.42,11.04,3.0,0.004437,4.1083,4.1696,20.8917,20.8304,27.1107,27.0617
UAV-1-L017,UAV-1,D22,覆盖连接段,551.94,322.42,571.18,331.39,21.22,3.0,0.004437,4.1696,4.2875,20.8304,20.7125,27.0617,26.9675
UAV-1-L018,UAV-1,D22,覆盖喷洒段,571.18,331.39,645.32,365.96,81.81,3.0,0.004437,4.2875,4.7421,20.7125,20.2579,26.9675,26.6045
UAV-1-L019,UAV-1,D22,覆盖连接段,645.32,365.96,560.64,331.9,91.28,3.0,0.004437,4.7421,5.2492,20.2579,19.7508,26.6045,26.1995
UAV-1-L020,UAV-1,D22,覆盖喷洒段,560.64,331.9,547.52,325.79,14.48,3.0,0.004437,5.2492,5.3296,19.7508,19.6704,26.1995,26.1353
UAV-1-L021,UAV-1,D22,覆盖连接段,547.52,325.79,569.87,336.21,24.66,3.0,0.004437,5.3296,5.4666,19.6704,19.5334,26.1353,26.0259
UAV-1-L022,UAV-1,D22,覆盖喷洒段,569.87,336.21,645.59,371.52,83.55,3.0,0.004437,5.4666,5.9308,19.5334,19.0692,26.0259,25.6551
UAV-1-L023,UAV-1,D22,覆盖连接段,645.59,371.52,559.33,336.72,93.02,3.0,0.004437,5.9308,6.4475,19.0692,18.5525,25.6551,25.2424
UAV-1-L024,UAV-1,D22,覆盖喷洒段,559.33,336.72,543.59,329.38,17.37,3.0,0.004437,6.4475,6.544,18.5525,18.456,25.2424,25.1654
UAV-1-L025,UAV-1,D22,覆盖连接段,543.59,329.38,568.56,341.02,27.55,3.0,0.004437,6.544,6.697,18.456,18.303,25.1654,25.0431
UAV-1-L026,UAV-1,D22,覆盖喷洒段,568.56,341.02,645.35,376.83,84.73,3.0,0.004437,6.697,7.1678,18.303,17.8322,25.0431,24.6672
UAV-1-L027,UAV-1,D22,覆盖连接段,645.35,376.83,558.02,341.54,94.2,3.0,0.004437,7.1678,7.6911,17.8322,17.3089,24.6672,24.2492
UAV-1-L028,UAV-1,D22,覆盖喷洒段,558.02,341.54,540.11,333.19,19.76,3.0,0.004437,7.6911,7.8009,17.3089,17.1991,24.2492,24.1616
UAV-1-L029,UAV-1,D22,覆盖连接段,540.11,333.19,567.25,345.84,29.94,3.0,0.004437,7.8009,7.9672,17.1991,17.0328,24.1616,24.0287
UAV-1-L030,UAV-1,D22,覆盖喷洒段,567.25,345.84,644.67,381.95,85.43,3.0,0.004437,7.9672,8.4418,17.0328,16.5582,24.0287,23.6496
UAV-1-L031,UAV-1,D22,覆盖连接段,644.67,381.95,556.71,346.36,94.89,3.0,0.004437,8.4418,8.969,16.5582,16.031,23.6496,23.2286
UAV-1-L032,UAV-1,D22,覆盖喷洒段,556.71,346.36,537.04,337.18,21.7,3.0,0.004437,8.969,9.0896,16.031,15.9104,23.2286,23.1323
UAV-1-L033,UAV-1,D22,覆盖连接段,537.04,337.18,565.94,350.66,31.88,3.0,0.004437,9.0896,9.2667,15.9104,15.7333,23.1323,22.9908
UAV-1-L034,UAV-1,D22,覆盖喷洒段,565.94,350.66,643.59,386.87,85.69,3.0,0.004437,9.2667,9.7427,15.7333,15.2573,22.9908,22.6106
UAV-1-L035,UAV-1,D22,覆盖连接段,643.59,386.87,555.4,351.17,95.15,3.0,0.004437,9.7427,10.2713,15.2573,14.7287,22.6106,22.1885
UAV-1-L036,UAV-1,D22,覆盖喷洒段,555.4,351.17,534.35,341.36,23.22,3.0,0.004437,10.2713,10.4003,14.7287,14.5997,22.1885,22.0854
UAV-1-L037,UAV-1,D22,覆盖连接段,534.35,341.36,564.63,355.48,33.4,3.0,0.004437,10.4003,10.5859,14.5997,14.4141,22.0854,21.9372
UAV-1-L038,UAV-1,D22,覆盖喷洒段,564.63,355.48,642.12,391.61,85.5,3.0,0.004437,10.5859,11.0609,14.4141,13.9391,21.9372,21.5578
UAV-1-L039,UAV-1,D22,覆盖连接段,642.12,391.61,554.09,355.99,94.96,3.0,0.004437,11.0609,11.5885,13.9391,13.4115,21.5578,21.1365
UAV-1-L040,UAV-1,D22,覆盖喷洒段,554.09,355.99,532.04,345.71,24.33,3.0,0.004437,11.5885,11.7237,13.4115,13.2763,21.1365,21.0285
UAV-1-L041,UAV-1,D22,覆盖连接段,532.04,345.71,563.32,360.29,34.51,3.0,0.004437,11.7237,11.9154,13.2763,13.0846,21.0285,20.8754
UAV-1-L042,UAV-1,D22,覆盖喷洒段,563.32,360.29,640.28,396.18,84.92,3.0,0.004437,11.9154,12.3872,13.0846,12.6128,20.8754,20.4986
UAV-1-L043,UAV-1,D22,覆盖连接段,640.28,396.18,552.78,360.81,94.38,3.0,0.004437,12.3872,12.9115,12.6128,12.0885,20.4986,20.0799
UAV-1-L044,UAV-1,D22,覆盖喷洒段,552.78,360.81,530.09,350.23,25.03,3.0,0.004437,12.9115,13.0506,12.0885,11.9494,20.0799,19.9688
UAV-1-L045,UAV-1,D22,覆盖连接段,530.09,350.23,562.01,365.11,35.22,3.0,0.004437,13.0506,13.2462,11.9494,11.7538,19.9688,19.8125
UAV-1-L046,UAV-1,D22,覆盖喷洒段,562.01,365.11,638.06,400.58,83.92,3.0,0.004437,13.2462,13.7124,11.7538,11.2876,19.8125,19.4402
UAV-1-L047,UAV-1,D22,覆盖连接段,638.06,400.58,551.47,365.63,93.38,3.0,0.004437,13.7124,14.2312,11.2876,10.7688,19.4402,19.0259
UAV-1-L048,UAV-1,D22,覆盖喷洒段,551.47,365.63,528.52,354.93,25.32,3.0,0.004437,14.2312,14.3719,10.7688,10.6281,19.0259,18.9135
UAV-1-L049,UAV-1,D22,覆盖连接段,528.52,354.93,560.69,369.93,35.5,3.0,0.004437,14.3719,14.5691,10.6281,10.4309,18.9135,18.756
UAV-1-L050,UAV-1,D22,覆盖喷洒段,560.69,369.93,635.48,404.8,82.52,3.0,0.004437,14.5691,15.0276,10.4309,9.9724,18.756,18.3898
UAV-1-L051,UAV-1,D22,覆盖连接段,635.48,404.8,550.16,370.44,91.98,3.0,0.004437,15.0276,15.5386,9.9724,9.4614,18.3898,17.9817
UAV-1-L052,UAV-1,D22,覆盖喷洒段,550.16,370.44,527.32,359.79,25.2,3.0,0.004437,15.5386,15.6786,9.4614,9.3214,17.9817,17.8699
UAV-1-L053,UAV-1,D22,覆盖连接段,527.32,359.79,559.38,374.75,35.38,3.0,0.004437,15.6786,15.8752,9.3214,9.1248,17.8699,17.7129
UAV-1-L054,UAV-1,D22,覆盖喷洒段,559.38,374.75,632.51,408.85,80.69,3.0,0.004437,15.8752,16.3234,9.1248,8.6766,17.7129,17.3549
UAV-1-L055,UAV-1,D22,覆盖连接段,632.51,408.85,548.85,375.26,90.15,3.0,0.004437,16.3234,16.8243,8.6766,8.1757,17.3549,16.9549
UAV-1-L056,UAV-1,D22,覆盖喷洒段,548.85,375.26,526.53,364.86,24.62,3.0,0.004437,16.8243,16.9611,8.1757,8.0389,16.9549,16.8456
UAV-1-L057,UAV-1,D22,覆盖连接段,526.53,364.86,558.07,379.57,34.8,3.0,0.004437,16.9611,17.1544,8.0389,7.8456,16.8456,16.6912
UAV-1-L058,UAV-1,D22,覆盖喷洒段,558.07,379.57,629.15,412.71,78.42,3.0,0.004437,17.1544,17.5901,7.8456,7.4099,16.6912,16.3432
UAV-1-L059,UAV-1,D22,覆盖连接段,629.15,412.71,547.54,380.08,87.89,3.0,0.004437,17.5901,18.0784,7.4099,6.9216,16.3432,15.9532
UAV-1-L060,UAV-1,D22,覆盖喷洒段,547.54,380.08,526.17,370.12,23.58,3.0,0.004437,18.0784,18.2094,6.9216,6.7906,15.9532,15.8486
UAV-1-L061,UAV-1,D22,覆盖连接段,526.17,370.12,556.76,384.38,33.76,3.0,0.004437,18.2094,18.3969,6.7906,6.6031,15.8486,15.6988
UAV-1-L062,UAV-1,D22,覆盖喷洒段,556.76,384.38,625.35,416.37,75.68,3.0,0.004437,18.3969,18.8174,6.6031,6.1826,15.6988,15.3631
UAV-1-L063,UAV-1,D22,覆盖连接段,625.35,416.37,546.23,384.9,85.15,3.0,0.004437,18.8174,19.2905,6.1826,5.7095,15.3631,14.9852
UAV-1-L064,UAV-1,D22,覆盖喷洒段,546.23,384.9,526.28,375.6,22.0,3.0,0.004437,19.2905,19.4127,5.7095,5.5873,14.9852,14.8876
UAV-1-L065,UAV-1,D22,覆盖连接段,526.28,375.6,555.45,389.2,32.19,3.0,0.004437,19.4127,19.5915,5.5873,5.4085,14.8876,14.7448
UAV-1-L066,UAV-1,D22,覆盖喷洒段,555.45,389.2,621.07,419.8,72.4,3.0,0.004437,19.5915,19.9937,5.4085,5.0063,14.7448,14.4235
UAV-1-L067,UAV-1,D22,覆盖连接段,621.07,419.8,544.92,389.72,81.88,3.0,0.004437,19.9937,20.4486,5.0063,4.5514,14.4235,14.0602
UAV-1-L068,UAV-1,D22,覆盖喷洒段,544.92,389.72,526.95,381.34,19.82,3.0,0.004437,20.4486,20.5587,4.5514,4.4413,14.0602,13.9723
UAV-1-L069,UAV-1,D22,覆盖连接段,526.95,381.34,554.14,394.02,30.0,3.0,0.004437,20.5587,20.7254,4.4413,4.2746,13.9723,13.8392
UAV-1-L070,UAV-1,D22,覆盖喷洒段,554.14,394.02,616.24,422.98,68.52,3.0,0.004437,20.7254,21.1061,4.2746,3.8939,13.8392,13.5351
UAV-1-L071,UAV-1,D22,覆盖连接段,616.24,422.98,531.72,388.99,91.1,3.0,0.004437,21.1061,21.6122,3.8939,3.3878,13.5351,13.1309
UAV-1-L072,UAV-1,D22,覆盖喷洒段,531.72,388.99,528.29,387.39,3.79,3.0,0.004437,21.6122,21.6332,3.3878,3.3668,13.1309,13.1141
UAV-1-L073,UAV-1,D22,覆盖连接段,528.29,387.39,554.99,399.84,29.47,3.0,0.004437,21.6332,21.7969,3.3668,3.2031,13.1141,12.9834
UAV-1-L074,UAV-1,D22,覆盖喷洒段,554.99,399.84,588.12,415.29,36.55,3.0,0.004437,21.7969,22.0,3.2031,3.0,12.9834,12.8212
UAV-1-L075,UAV-1,D22,补给转场-去程,588.12,415.29,423.62,429.66,165.13,6.0,0.0,22.0,22.4587,3.0,2.5413,12.8212,12.8212
UAV-1-L076,UAV-1,D22,补给转场-返程,423.62,429.66,588.12,415.29,165.13,6.0,0.0,22.4587,22.9174,25.0,24.5413,30.0,30.0
UAV-1-L077,UAV-1,D22,覆盖喷洒段,588.12,415.29,610.76,425.85,24.98,3.0,0.004437,22.9174,23.0562,24.5413,24.4025,30.0,29.8892
UAV-1-L078,UAV-1,D22,覆盖连接段,610.76,425.85,604.42,428.32,6.8,3.0,0.004437,23.0562,23.0939,24.4025,24.3648,29.8892,29.859
UAV-1-L079,UAV-1,D22,覆盖喷洒段,604.42,428.32,557.37,406.38,51.92,3.0,0.004437,23.0939,23.3824,24.3648,24.0763,29.859,29.6286
UAV-1-L080,UAV-1,D22,覆盖连接段,557.37,406.38,559.75,412.92,6.96,3.0,0.004437,23.3824,23.421,24.0763,24.0377,29.6286,29.5978
UAV-1-L081,UAV-1,D22,覆盖喷洒段,559.75,412.92,596.91,430.25,41.0,3.0,0.004437,23.421,23.6488,24.0377,23.8099,29.5978,29.4158
UAV-1-L082,UAV-1,D22,覆盖连接段,596.91,430.25,587.44,431.26,9.53,3.0,0.004437,23.6488,23.7017,23.8099,23.757,29.4158,29.3736
UAV-1-L083,UAV-1,D22,覆盖喷洒段,587.44,431.26,562.13,419.46,27.92,3.0,0.004437,23.7017,23.8569,23.757,23.6018,29.3736,29.2497
UAV-1-L084,UAV-1,D22,覆盖连接段,562.13,419.46,564.51,426.0,6.96,3.0,0.004437,23.8569,23.8955,23.6018,23.5632,29.2497,29.2188
UAV-1-L085,UAV-1,D22,覆盖喷洒段,564.51,426.0,572.68,429.8,9.01,3.0,0.004437,23.8955,23.9456,23.5632,23.5131,29.2188,29.1788
UAV-1-L086,UAV-1,D18,飞行-区域间,572.68,429.8,432.41,275.33,208.66,6.0,0.0,23.9456,24.5252,23.5131,22.9335,29.1788,29.1788
UAV-1-L087,UAV-1,D18,覆盖喷洒段,432.41,275.33,449.97,283.51,19.38,3.0,0.005218,24.5252,24.6329,22.9335,22.8258,29.1788,29.0777
UAV-1-L088,UAV-1,D18,覆盖连接段,449.97,283.51,449.81,288.87,5.36,3.0,0.005218,24.6329,24.6626,22.8258,22.7961,29.0777,29.0497
UAV-1-L089,UAV-1,D18,覆盖喷洒段,449.81,288.87,428.41,278.89,23.61,3.0,0.005218,24.6626,24.7938,22.7961,22.6649,29.0497,28.9266
UAV-1-L090,UAV-1,D18,覆盖连接段,428.41,278.89,426.45,283.4,4.92,3.0,0.005218,24.7938,24.8211,22.6649,22.6376,28.9266,28.9009
UAV-1-L091,UAV-1,D18,覆盖喷洒段,426.45,283.4,447.61,293.27,23.35,3.0,0.005218,24.8211,24.9508,22.6376,22.5079,28.9009,28.779
UAV-1-L092,UAV-1,D18,覆盖连接段,447.61,293.27,443.31,296.69,5.5,3.0,0.005218,24.9508,24.9814,22.5079,22.4773,28.779,28.7503
UAV-1-L093,UAV-1,D18,覆盖喷洒段,443.31,296.69,426.6,288.9,18.44,3.0,0.005218,24.9814,25.0838,22.4773,22.3749,28.7503,28.6541
UAV-1-L094,UAV-1,D02,飞行-区域间,426.6,288.9,398.13,489.27,202.39,6.0,0.0,25.0838,25.646,22.3749,21.8127,28.6541,28.6541
UAV-1-L095,UAV-1,D02,覆盖喷洒段,398.13,489.27,431.84,504.99,37.19,3.0,0.008388,25.646,25.8526,21.8127,21.606,28.6541,28.3421
UAV-1-L096,UAV-1,D02,覆盖连接段,431.84,504.99,435.89,512.31,8.37,3.0,0.008388,25.8526,25.8991,21.606,21.5596,28.3421,28.2719
UAV-1-L097,UAV-1,D02,覆盖喷洒段,435.89,512.31,389.91,490.87,50.73,3.0,0.008388,25.8991,26.181,21.5596,21.2777,28.2719,27.8463
UAV-1-L098,UAV-1,D02,覆盖连接段,389.91,490.87,383.75,493.42,6.67,3.0,0.008388,26.181,26.2181,21.2777,21.2406,27.8463,27.7903
UAV-1-L099,UAV-1,D02,覆盖喷洒段,383.75,493.42,437.9,518.68,59.75,3.0,0.008388,26.2181,26.55,21.2406,20.9087,27.7903,27.2892
UAV-1-L100,UAV-1,D02,覆盖连接段,437.9,518.68,438.71,524.48,5.86,3.0,0.008388,26.55,26.5826,20.9087,20.8761,27.2892,27.24
UAV-1-L101,UAV-1,D02,覆盖喷洒段,438.71,524.48,378.78,496.54,66.13,3.0,0.008388,26.5826,26.95,20.8761,20.5087,27.24,26.6853
UAV-1-L102,UAV-1,D02,覆盖连接段,378.78,496.54,374.68,500.05,5.4,3.0,0.008388,26.95,26.98,20.5087,20.4787,26.6853,26.64
UAV-1-L103,UAV-1,D02,覆盖喷洒段,374.68,500.05,438.65,529.88,70.58,3.0,0.008388,26.98,27.3721,20.4787,20.0866,26.64,26.0479
UAV-1-L104,UAV-1,D02,覆盖连接段,438.65,529.88,437.88,534.95,5.13,3.0,0.008388,27.3721,27.4006,20.0866,20.0581,26.0479,26.0049
UAV-1-L105,UAV-1,D02,覆盖喷洒段,437.88,534.95,371.29,503.9,73.47,3.0,0.008388,27.4006,27.8088,20.0581,19.6499,26.0049,25.3886
UAV-1-L106,UAV-1,D02,覆盖连接段,371.29,503.9,368.53,508.05,4.98,3.0,0.008388,27.8088,27.8364,19.6499,19.6223,25.3886,25.3468
UAV-1-L107,UAV-1,D02,覆盖喷洒段,368.53,508.05,436.48,539.73,74.97,3.0,0.008388,27.8364,28.2529,19.6223,19.2058,25.3468,24.718
UAV-1-L108,UAV-1,D02,覆盖连接段,436.48,539.73,434.48,544.23,4.92,3.0,0.008388,28.2529,28.2802,19.2058,19.1785,24.718,24.6767
UAV-1-L109,UAV-1,D02,覆盖喷洒段,434.48,544.23,366.37,512.46,75.15,3.0,0.008388,28.2802,28.6977,19.1785,18.761,24.6767,24.0463
UAV-1-L110,UAV-1,D02,覆盖连接段,366.37,512.46,364.79,517.16,4.95,3.0,0.008388,28.6977,28.7252,18.761,18.7335,24.0463,24.0048
UAV-1-L111,UAV-1,D02,覆盖喷洒段,364.79,517.16,431.9,548.45,74.04,3.0,0.008388,28.7252,29.1366,18.7335,18.3221,24.0048,23.3837
UAV-1-L112,UAV-1,D02,覆盖连接段,431.9,548.45,428.7,552.39,5.07,3.0,0.008388,29.1366,29.1648,18.3221,18.2939,23.3837,23.3412
UAV-1-L113,UAV-1,D02,覆盖喷洒段,428.7,552.39,363.83,522.14,71.58,3.0,0.008388,29.1648,29.5624,18.2939,17.8963,23.3412,22.7407
UAV-1-L114,UAV-1,D02,覆盖连接段,363.83,522.14,363.55,527.44,5.31,3.0,0.008388,29.5624,29.5919,17.8963,17.8668,22.7407,22.6962
UAV-1-L115,UAV-1,D02,覆盖喷洒段,363.55,527.44,424.82,556.01,67.6,3.0,0.008388,29.5919,29.9675,17.8668,17.4912,22.6962,22.1291
UAV-1-L116,UAV-1,D02,覆盖连接段,424.82,556.01,420.13,559.25,5.7,3.0,0.008388,29.9675,29.9992,17.4912,17.4595,22.1291,22.0813
UAV-1-L117,UAV-1,D02,覆盖喷洒段,420.13,559.25,364.09,533.11,61.84,3.0,0.008388,29.9992,30.3427,17.4595,17.116,22.0813,21.5626
UAV-1-L118,UAV-1,D02,覆盖连接段,364.09,533.11,365.7,539.29,6.39,3.0,0.008388,30.3427,30.3782,17.116,17.0805,21.5626,21.509
UAV-1-L119,UAV-1,D02,覆盖喷洒段,365.7,539.29,414.37,561.99,53.71,3.0,0.008388,30.3782,30.6766,17.0805,16.7821,21.509,21.0585
UAV-1-L120,UAV-1,D02,覆盖连接段,414.37,561.99,406.91,563.94,7.71,3.0,0.008388,30.6766,30.7194,16.7821,16.7393,21.0585,20.9938
UAV-1-L121,UAV-1,D02,覆盖喷洒段,406.91,563.94,368.99,546.26,41.84,3.0,0.008388,30.7194,30.9518,16.7393,16.5068,20.9938,20.6429
UAV-1-L122,UAV-1,D02,覆盖连接段,368.99,546.26,376.55,555.21,11.71,3.0,0.008388,30.9518,31.0169,16.5068,16.4418,20.6429,20.5446
UAV-1-L123,UAV-1,D02,覆盖喷洒段,376.55,555.21,395.2,563.91,20.58,3.0,0.008388,31.0169,31.1312,16.4418,16.3275,20.5446,20.372
UAV-1-L124,UAV-1,D12,飞行-区域间,395.2,563.91,363.63,358.98,207.35,6.0,0.0,31.1312,31.7072,16.3275,15.7515,20.372,20.372
UAV-1-L125,UAV-1,D12,覆盖喷洒段,363.63,358.98,407.07,379.23,47.94,3.0,0.004798,31.7072,31.9735,15.7515,15.4852,20.372,20.142
UAV-1-L126,UAV-1,D12,覆盖连接段,407.07,379.23,413.35,387.59,10.45,3.0,0.004798,31.9735,32.0316,15.4852,15.4271,20.142,20.0919
UAV-1-L127,UAV-1,D12,覆盖喷洒段,413.35,387.59,353.21,359.55,66.35,3.0,0.004798,32.0316,32.4002,15.4271,15.0585,20.0919,19.7735
UAV-1-L128,UAV-1,D12,覆盖连接段,353.21,359.55,345.2,361.24,8.19,3.0,0.004798,32.4002,32.4457,15.0585,15.013,19.7735,19.7342
UAV-1-L129,UAV-1,D12,覆盖喷洒段,345.2,361.24,417.21,394.82,79.45,3.0,0.004798,32.4457,32.8871,15.013,14.5716,19.7342,19.3529
UAV-1-L130,UAV-1,D12,覆盖连接段,417.21,394.82,419.72,401.42,7.07,3.0,0.004798,32.8871,32.9263,14.5716,14.5323,19.3529,19.319
UAV-1-L131,UAV-1,D12,覆盖喷洒段,419.72,401.42,338.51,363.55,89.61,3.0,0.004798,32.9263,33.4242,14.5323,14.0345,19.319,18.889
UAV-1-L132,UAV-1,D12,覆盖连接段,338.51,363.55,332.75,366.29,6.38,3.0,0.004798,33.4242,33.4596,14.0345,13.9991,18.889,18.8584
UAV-1-L133,UAV-1,D12,覆盖喷洒段,332.75,366.29,421.33,407.6,97.74,3.0,0.004798,33.4596,34.0026,13.9991,13.4561,18.8584,18.3894
UAV-1-L134,UAV-1,D12,覆盖连接段,421.33,407.6,422.23,413.45,5.92,3.0,0.004798,34.0026,34.0355,13.4561,13.4232,18.3894,18.361
UAV-1-L135,UAV-1,D12,覆盖喷洒段,422.23,413.45,327.69,369.36,104.32,3.0,0.004798,34.0355,34.6151,13.4232,12.8436,18.361,17.8604
UAV-1-L136,UAV-1,D12,覆盖连接段,327.69,369.36,350.63,385.49,28.05,3.0,0.004798,34.6151,34.7709,12.8436,12.6878,17.8604,17.7259
UAV-1-L137,UAV-1,D12,覆盖喷洒段,350.63,385.49,422.56,419.03,79.36,3.0,0.004798,34.7709,35.2118,12.6878,12.2469,17.7259,17.3451
UAV-1-L138,UAV-1,D12,覆盖连接段,422.56,419.03,342.68,392.64,84.12,3.0,0.004798,35.2118,35.6791,12.2469,11.7796,17.3451,16.9414
UAV-1-L139,UAV-1,D12,覆盖喷洒段,342.68,392.64,325.85,384.79,18.57,3.0,0.004798,35.6791,35.7823,11.7796,11.6764,16.9414,16.8523
UAV-1-L140,UAV-1,D12,覆盖连接段,325.85,384.79,312.52,384.0,13.36,3.0,0.004798,35.7823,35.8565,11.6764,11.6022,16.8523,16.7882
UAV-1-L141,UAV-1,D12,覆盖喷洒段,312.52,384.0,315.85,385.55,3.67,3.0,0.004798,35.8565,35.8769,11.6022,11.5818,16.7882,16.7706
UAV-1-L142,UAV-1,D12,覆盖连接段,315.85,385.55,420.76,434.48,115.76,3.0,0.004798,35.8769,36.52,11.5818,10.9387,16.7706,16.2151
UAV-1-L143,UAV-1,D12,覆盖喷洒段,420.76,434.48,326.33,390.44,104.2,3.0,0.004798,36.52,37.0989,10.9387,10.3598,16.2151,15.7151
UAV-1-L144,UAV-1,D12,覆盖连接段,326.33,390.44,309.76,388.14,16.72,3.0,0.004798,37.0989,37.1918,10.3598,10.2669,15.7151,15.6349
UAV-1-L145,UAV-1,D12,覆盖喷洒段,309.76,388.14,316.32,391.2,7.24,3.0,0.004798,37.1918,37.232,10.2669,10.2267,15.6349,15.6001
UAV-1-L146,UAV-1,D12,覆盖连接段,316.32,391.2,419.37,439.26,113.7,3.0,0.004798,37.232,37.8637,10.2267,9.595,15.6001,15.0545
UAV-1-L147,UAV-1,D12,覆盖喷洒段,419.37,439.26,326.8,396.09,102.14,3.0,0.004798,37.8637,38.4312,9.595,9.0275,15.0545,14.5644
UAV-1-L148,UAV-1,D12,覆盖连接段,326.8,396.09,307.37,392.46,19.77,3.0,0.004798,38.4312,38.541,9.0275,8.9177,14.5644,14.4695
UAV-1-L149,UAV-1,D12,覆盖喷洒段,307.37,392.46,316.79,396.85,10.4,3.0,0.004798,38.541,38.5988,8.9177,8.8599,14.4695,14.4196
UAV-1-L150,UAV-1,D12,覆盖连接段,316.79,396.85,417.6,443.86,111.23,3.0,0.004798,38.5988,39.2167,8.8599,8.242,14.4196,13.8859
UAV-1-L151,UAV-1,D12,覆盖喷洒段,417.6,443.86,327.27,401.74,99.67,3.0,0.004798,39.2167,39.7704,8.242,7.6883,13.8859,13.4077
UAV-1-L152,UAV-1,D12,覆盖连接段,327.27,401.74,305.34,396.94,22.45,3.0,0.004798,39.7704,39.8952,7.6883,7.5635,13.4077,13.2999
UAV-1-L153,UAV-1,D12,覆盖喷洒段,305.34,396.94,317.27,402.5,13.16,3.0,0.004798,39.8952,39.9683,7.5635,7.4904,13.2999,13.2368
UAV-1-L154,UAV-1,D12,覆盖连接段,317.27,402.5,415.48,448.3,108.37,3.0,0.004798,39.9683,40.5703,7.4904,6.8884,13.2368,12.7168
UAV-1-L155,UAV-1,D12,覆盖喷洒段,415.48,448.3,327.74,407.38,96.81,3.0,0.004798,40.5703,41.1081,6.8884,6.3505,12.7168,12.2523
UAV-1-L156,UAV-1,D12,覆盖连接段,327.74,407.38,303.67,401.59,24.76,3.0,0.004798,41.1081,41.2457,6.3505,6.213,12.2523,12.1334
UAV-1-L157,UAV-1,D12,覆盖喷洒段,303.67,401.59,317.74,408.15,15.52,3.0,0.004798,41.2457,41.332,6.213,6.1267,12.1334,12.0589
UAV-1-L158,UAV-1,D12,覆盖连接段,317.74,408.15,412.98,452.56,105.09,3.0,0.004798,41.332,41.9158,6.1267,5.5429,12.0589,11.5547
UAV-1-L159,UAV-1,D12,覆盖喷洒段,412.98,452.56,328.21,413.03,93.53,3.0,0.004798,41.9158,42.4354,5.5429,5.0233,11.5547,11.1059
UAV-1-L160,UAV-1,D12,覆盖连接段,328.21,413.03,302.37,406.41,26.68,3.0,0.004798,42.4354,42.5837,5.0233,4.875,11.1059,10.9778
UAV-1-L161,UAV-1,D12,覆盖喷洒段,302.37,406.41,318.21,413.8,17.48,3.0,0.004798,42.5837,42.6808,4.875,4.7779,10.9778,10.894
